Primary Campus,University,School Name,Course Name,Class Name,
,,,,May 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Supply Chain Management and Logistics,January 2025 Intake (USD),1
,,"Faculty of Engineering, Environment and Computing",MSc Data Science,January 2025 Intake (USD),1
,,,,May 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Data Science and Computational Intelligence,January 2025 Intake (USD),1
,,,,May 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Automotive Engineering,January 2025 Intake (USD),1
,,,MSc in Computer Science,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Cyber Security,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Engineering Management,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,Faculty of Health and Life Sciences,MSc Adult Nursing Blended Learning (pre-registration),September 2024 Intake (USD) (UK Students Only),1
,,,MSc Biomedical Science (Clinical Biochemistry and Immunology),May 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Global Healthcare Management,January 2025 Intake (USD),1
,,,,May 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Nursing,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,Cranfield University,Cranfield School of Management,Executive MBA,September 2024 Intake (USD),1
,,,MBA (Full-Time),September 2024 Intake (USD),1
,,,MSc Accounting and Finance,September 2024 Intake - Home Students (USD),1
,,,,September 2024 Intake - Overseas Students (USD),1
,,,MSc Executive Logistics and Supply Chain Management,October 2024 Intake (USD),1
,,,"MSc in Banking, Economics and Finance",September 2024 Intake (USD) (Home Student),1
,,,,September 2024 Intake (USD) (Oversees Students),1
,,,MSc in Business Data Analytics,September 2024 Intake - Home Students (USD),1
,,,,September 2024 Intake - Overseas Students (USD),1
,,,MSc in Finance,September 2024 Intake - Home Students (USD),1
,,,,September 2024 Intake - Overseas Students (USD),1
,,,MSc in Investment Management,September 2024 Intake - Home Students (USD),1
,,,,September 2024 Intake - Overseas Students (USD),1
,,,MSc in Logistics and Supply Chain Management,September 2024 Intake - Home Students (USD),1
,,,,September 2024 Intake - Overseas Students (USD),1
,,,MSc in Management,September 2024 Intake - Home Students (USD),1
,,,,September 2024 Intake - Overseas Students (USD),1
,,,MSc in Management and Corporate Sustainability,September 2024 Intake - Home Students (USD),1
,,,,September 2024 Intake - Overseas Students (USD),1
,,,MSc in Management and Entrepreneurship,September 2024 Intake - Home Students (USD),1
,,,,September 2024 Intake - Overseas Students (USD),1
,,,MSc in Management and Human Resource Management,September 2024 Intake - Home Students (USD),1
,,,,September 2024 Intake - Overseas Students (USD),1
,,,MSc in Procurement and Supply Chain Management,September 2024 Intake - Home Students (USD),1
,,,,September 2024 Intake - Overseas Students (USD),1
,,,MSc in Strategic Marketing,September 2024 Intake - Home Students (USD),1
,,,,September 2024 Intake - Overseas Students (USD),1
,De Montfort University,Faculty of Business and Law,Global MBA,January 2025 Intake (International) (USD),1
,,,,September 2024 Intake (USD),1
,,,LLM in Criminal Justice,September 2024 Intake (USD),1
,,,LLM in Employment Law and Practice,September 2024 Intake (USD),1
,,,LLM in International Commercial Law and Practice,September 2024 Intake (USD),1
,,,"LLM in Medical Law, Ethics and Practice",September 2024 Intake (USD),1
,,,"LLM in Sustainability, Social Justice and Human Rights Law",September 2024 Intake (USD),1
,,,LLM on SQE (Solicitors Qualifying Examinations),September 2024 Intake (USD),1
,,,MA Human Resource Management,Autumn 2024 Intake (International) (USD),1
,,,MA in International Relations,September 2024 Intake (USD),1
,,,MSc Accounting and Finance,Autumn 2024 Intake (International) (USD),1
,,,MSc Advertising and Public Relations Management,September 2024 Intake (USD),1
,,,MSc Air Transport Management,Autumn 2024 Intake (International) (USD),1
,,,MSc Economics,Autumn 2024 Intake (International) (USD),1
,,,MSc Economics and International Relations (Full-Time) On Campus,Autumn 2024 Intake (International) (USD),1
,,,MSc Forensic Accounting,Autumn 2024 Intake (International) (USD),1
,,,MSc in Finance and Banking,September 2024 Intake (USD),1
,,,MSc in Finance and Investment,September 2024 Intake (USD),1
,,,MSc in International Business and Entrepreneurship,September 2024 Intake (USD),1
,,,MSc in Risk Management ,September 2024 Intake (USD),1
,,,MSc International Business and Finance (Full Time) On Campus,Autumn 2024 Intake (International) (USD),1
,,,MSc International Business and Human Resource Management (Full Time) On Campus,Autumn 2024 Intake (International) (USD),1
,,,MSc International Business and Management (Full Time) On Campus,Autumn 2024 Intake (International) (USD),1
,,,,January 2025 Intake (International) (USD),1
,,,MSc International Business and Marketing (Full Time) On Campus,Autumn 2024 Intake (International) (USD),1
,,,MSc International Finance and Investment ( Full Time) On Campus,Autumn 2024 Intake (International) (USD),1
,,,"MSc Marketing Management (Full-time, On-Campus)",Autumn 2024 Intake (International) (USD),1
,,,,January 2025 Intake (International) (USD),1
,,,MSc Project Management,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Strategic and Digital Marketing,Autumn 2024 Intake (International) (USD),1
,,"Faculty of Computing, Engineering and Media",MSc Artificial Intelligence (Full Time),Autumn 2024 Intake (International) (USD),1
,,,,January 2024 Intake (International) (USD),1
,,,,January 2025 Intake (International) (USD),1
,,,"MSc Computing (Full-Time, On Campus)",Autumn 2024 Intake (International) (USD),1
,,,,January 2024 Intake (International) (USD),1
,,,,January 2025 Intake (International) (USD),1
,,,MSc Cybersecurity,Autumn 2024 Intake (International) (USD),1
,,,,January 2025 Intake (International) (USD),1
,,,MSc Cybertechnology (Full-Time) On Campus,Autumn 2024 Intake (International) (USD),1
,,,MSc Data Analytics,Autumn 2024 Intake (International) (USD),1
,,,,January 2025 Intake (International) (USD),1
,,,MSc Electronic Engineering (Full-Time) On Campus,Autumn 2024 Intake (International) (USD),1
,,,,January 2025 Intake (International) (USD),1
,,,MSc Energy Engineering,Autumn 2024 Intake (International) (USD),1
,,,,January 2025 Intake (International) (USD),1
,,,MSc in Aeronautical Engineering,Autumn 2024 Intake (International) (USD),1
,,,,January 2025 Intake (International) (USD),1
,,,"MSc in Business Intelligence Systems and Data Mining (Full-Time, On Campus)",Autumn 2024 Intake (International) (USD),1
,,,MSc in Energy and Sustainable Development,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Mechatronics and Robotics,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Smart Grids and Power Systems,September 2024 Intake (USD),1
,,,MSc Information Systems Management (Full-Time) On campus,Autumn 2024 Intake (International) (USD),1
,,,,January 2025 Intake (International) (USD),1
,,,MSc Mechanical Engineering (Full Time) On Campus,Autumn 2024 Intake (International) (USD),1
,,,,January 2025 Intake (International) (USD),1
,,,MSc Mechatronics (Full Time) on Campus,Autumn 2024 Intake (International) (USD),1
,,,,January 2025 Intake (International) (USD),1
,,,MSc Software Engineering (Full Time) On Campus,Autumn 2024 Intake (International) (USD),1
,,,,January 2025 Intake (International) (USD),1
,,,PgDip Computing,January 2024 Intake (USD),1
,,,PgDip Electronic Engineering,September 2024 Intake (USD),1
,,,PgDip Energy and Sustainable Development,September 2024 Intake (USD),1
,,,PgDip Information Systems Management,September 2024 Intake (USD),1
,,,PgDip Mechanical Engineering,September 2024 Intake (USD),1
,,,PgDip Software Engineering,September 2023 Intake (USD),1
,,Faculty of Health and Life Sciences,MSc Global Health (Full-Time) On campus,Autumn 2024 Intake (International) (USD),1
,,,"MSc in Advanced Biomedical Science (Full-time, On-campus)",Autumn 2024 Intake (International) (USD),1
,,,MSc Pharmaceutical Biotechnology (Full Time) On Campus,Autumn 2024 Intake (International) (USD),1
,Durham University,Business School,Master of Business Administration (MBA),September 2024 Intake (USD),1
,,,MSc in Finance,September 2024 Intake (USD),1
,,,MSc in Finance (Accounting and Finance),September 2024 Intake (USD),1
,,,MSc in Finance (Economics and Finance),September 2024 Intake (USD),1
,,,MSc in Finance (Finance and Investment),September 2024 Intake (USD),1
,,,MSc in Finance (Financial Technology and Banking),September 2024 Intake (USD),1
,,,MSc in Human Resource Management,September 2024 Intake (USD),1
,,,MSc in Management (Entrepreneurship),September 2024 Intake (USD),1
,,,MSc in Management (Finance),September 2024 Intake (USD),1
,,,MSc in Management (International Business),September 2024 Intake (USD),1
,,,MSc in Management (Supply Chain Logistics),September 2024 Intake (USD),1
,,,MSc Marketing,September 2024 Intake (USD),1
,Edinburgh Napier University,Edinburgh Napier University,Master of Business Administration,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,Master of Business Administration (Business Leadership and Practice),January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,Master of Business Administration (Strategic Project Management),January 2024 Intake (USD),1
,,,,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,Master of Public Health,January 2025 Intake (USD),1
,,,MSc Accounting,January 2025 Intake (USD),1
,,,,September 2024 Intake,1
,,,MSc Advanced Materials Engineering,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Automation & Control,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Biomedical Science,January 2025 Intake,1
,,,,September 2024 Intake,1
,,,MSc Business Management (Leadership and Innovation),January 2025 Intake,1
,,,,September 2024 Intake,1
,,,MSc Healthcare Management,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Business Information Technology,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Business Management,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Drug Design and Biomedical Science,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in International Business Management,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in International Finance,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in User Experience Design,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Intercultural Business Communication,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc International Heritage and Cultural Tourism Management,January 2024 Intake,1
,,,,January 2025 Intake (USD),1
,,,,September 2024 Intake,1
,,,MSc International Human Resource Management,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc International Marketing,September 2024 Intake (USD),1
,,,MSc International Marketing with Tourism,September 2024 Intake (USD),1
,,,MSc International Tourism Destination Management,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Marketing,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Marketing With Digital Strategy,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Marketing with Festival and Event Management,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Medical Biotechnology,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Pharmaceutical and Analytical Science,January 2025 Intake,1
,,,MSc Renewable Energy,January 2025 Intake (USD),1
,,,,September 2024 Intake,1
,Glasgow Caledonian University,Glasgow Caledonian University,Global Master of Business Administration - MBA,January 2025 Intake (USD),1
,,,,September 2024 Intake,1
,,,Master of Public Health (MPH),January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc 3D Design for Virtual Environments,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,"MSc Accounting, Finance and Regulation",January 2025 Intake,1
,,,,September 2024 Intake,1
,,,MSc Applied Data Science in Engineering,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Computer Science,January 2025 Intake (USD),1
,,,MSc Cyber Security,September 2024 Intake (USD),1
,,,MSc Human Resource Management,January 2025 Intake (USD),1
,,,,September 2024 Intake,1
,,,MSc in Big Data Technologies,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Electrical and Electronic Engineering,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,"MSc in Environmental Management (Waste, Energy, Water, Oil and Gas)",January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in International Construction Project Management ,September 2024 Intake (USD),1
,,,MSc in International Human Resource Management,September 2024 Intake (USD),1
,,,MSc in International Operations and Supply Chain Management,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,,September 2024 Intake (USD) (Professional Practice),1
,,,MSc International Business Management,January 2025 Intake (USD),1
,,,,September 2024 Intake,1
,,,MSc International Economic and Social Justice,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc International Management and Business Development,January 2025 Intake (USD),1
,,,,September 2024 Intake (SW-Track) (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Marketing,September 2024 Intake (USD),1
,,,MSc Medical Bioscience,September 2024 Intake (USD),1
,,,MSc Nursing Studies Adult (Pre-Registration),January 2024 Intake (USD),1
,,,,January 2025 Intake (USD),1
,,,MSc Nursing: Advancing Professional Practice,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Professional Accountancy,August 2024 Intake (USD),1
,,,MSc Social Innovation,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,Glasgow School for Business and Society,MBA Luxury Brand Management,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,"School of Computing, Engineering and Built Environment",MSc Environmental Forensic Analysis,September 2024 Intake (USD),1
,,,MSc Quantity Surveying,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,Goldsmiths University of London,Department of Computing,MA - Virtual and Augmented Reality,September 2024 Intake (USD),1
,,,MSc - Computational Cognitive Neuroscience,September 2024 Intake (USD),1
,,,MSc - User Experience Engineering,September 2024 Intake (USD),1
,,,MSc Computer Games Programming,September 2024 Intake (USD),1
,,,MSc Data Science,September 2024 Intake (USD),1
,,,MSc Data Science and Artificial Intelligence,September 2024 Intake (USD),1
,,,MSc Data Science and Econometrics,September 2024 Intake (USD),1
,,,MSc Data Science and Financial Technologies,September 2024 Intake (USD),1
,,,MSc Data Science and Marketing,September 2024 Intake (USD),1
,,Department of Law,LLM Criminal Justice,September 2024 Intake (USD),1
,,,LLM Criminal Justice and Human Rights,September 2024 Intake (USD),1
,,,LLM International Human Rights,September 2024 Intake (USD),1
,,,LLM International Tax Law,September 2024 Intake (USD),1
,,Department of Psychology,MSc Cognitive & Clinical Neuroscience,September 2024 Intake (USD),1
,,Department of Sociology,"MA Ecology, Culture, & Society",September 2024 Intake (USD),1
,,Institute for Creative and Cultural Entrepreneurship,"MA International Retail Business, Sustainability and Technologies",September 2024 Intake (USD),1
,,Institute of Management Studies,MSc Business Management (with Pathways),September 2024 Intake (USD),1
,,,MSc Management of Innovation,September 2024 Intake (USD),1
,Henley Business School,Henley Business School,Masters in Finance,September 2024 Intake (USD),1
,Imperial College London,Faculty of Engineering,MRes in Artificial Intelligence and Machine Learning,September 2024 Intake (USD),1
,,,MRes in Neurotechnology,September 2024 Intake (USD),1
,,,MSc Applied Computational Science and Engineering,September 2024 Intake (USD),1
,,,MSc in Advanced Aeronautical Engineering,September 2024 Intake (USD),1
,,,MSc in Advanced Chemical Engineering,September 2024 Intake (USD),1
,,,MSc in Advanced Chemical Engineering with Biotechnology,September 2024 Intake (USD),1
,,,MSc in Advanced Chemical Engineering with Materials Engineering,September 2024 Intake (USD),1
,,,MSc in Advanced Chemical Engineering with Process Systems Engineering,September 2024 Intake (USD),1
,,,"MSc in Advanced Computational Methods for Aeronautics, Flow Management and Fluid-Structure Interaction",September 2024 Intake (USD),1
,,,MSc in Advanced Computing,September 2024 Intake (USD),1
,,,MSc in Advanced Materials for Sustainable Infrastructure,September 2024 Intake (USD),1
,,,MSc in Advanced Materials Science and Engineering,September 2024 Intake (USD),1
,,,MSc in Advanced Mechanical Engineering (Full-time),September 2024 Intake (USD),1
,,,MSc in Applied Machine Learning,September 2024 Intake (USD),1
,,,MSc in Artificial Intelligence,September 2024 Intake (USD),1
,,,MSc in Biomedical Engineering (Biomaterials),September 2024 Intake (USD),1
,,,MSc in Biomedical Engineering (Biomechanics and Mechanobiology),September 2024 Intake (USD),1
,,,MSc in Biomedical Engineering (Computational Bioengineering),September 2024 Intake (USD),1
,,,MSc in Biomedical Engineering (Medical Physics),September 2024 Intake (USD),1
,,,MSc in Biomedical Engineering (Neurotechnology),September 2024 Intake (USD),1
,,,"MSc in Composites – the Science, Technology and Engineering Application of Advanced Composites",September 2024 Intake (USD),1
,,,MSc in Computing,September 2024 Intake (USD),1
,,,MSc in Computing (Artificial Intelligence and Machine Learning),September 2024 Intake (USD),1
,,,MSc in Computing (Security and Reliability),September 2024 Intake (USD),1
,,,MSc in Computing (Software Engineering),September 2024 Intake (USD),1
,,,MSc in Computing (Visual Computing and Robotics),September 2024 Intake (USD),1
,,,MSc in Concrete Structures (Full-time),September 2024 Intake (USD),1
,,,MSc in Earthquake Engineering (Full-time),September 2024 Intake (USD),1
,,,MSc in Engineering for Biomedicine,September 2024 Intake (USD),1
,,,MSc in Environmental Data Science and Machine Learning,September 2024 Intake (USD),1
,,,MSc in Environmental Engineering,September 2024 Intake (USD),1
,,,MSc in Future Power Networks,September 2024 Intake (USD),1
,,,MSc in General Structural Engineering (Full-time),September 2024 Intake (USD),1
,,,MSc in Geo-Energy with Machine Learning and Data Science,September 2024 Intake (USD),1
,,,MSc in Geotechnical and Earthquake Engineering (Full-time),September 2024 Intake (USD),1
,,,MSc in Geotechnical and Geoenvironmental Engineering (Full-time),September 2024 Intake (USD),1
,,,MSc in Geotechnical and Geological Engineering (Full-time),September 2024 Intake (USD),1
,,,MSc in Geotechnical Engineering (Full-time),September 2024 Intake (USD),1
,,,MSc in Human and Biological Robotics,September 2024 Intake (USD),1
,,,MSc in Hydrology and Water Resources Management,September 2024 Intake (USD),1
,,,MSc in Structural Steel Design,September 2024 Intake (USD),1
,,,MSc in Sustainable Energy Futures,September 2024 Intake (USD),1
,,,MSc in Transport,September 2024 Intake (USD),1
,,,MSc in Transport with Data Science,September 2024 Intake (USD),1
,,Faculty of Medicine,Master of Public Health (MPH),September 2024 Intake (USD),1
,,,MSc in Applied Genomics,September 2024 Intake (USD),1
,,,MSc in Epidemiology,September 2024 Intake (USD),1
,,,"MSc in Genes, Drugs and Stem Cells – Novel Therapies",September 2024 Intake (USD),1
,,,MSc in Genomic Medicine,September 2024 Intake (USD),1
,,,MSc in Health Data Analytics and Machine Learning,September 2024 Intake (USD),1
,,,MSc in Health Policy,September 2024 Intake (USD),1
,,,MSc in Human Molecular Genetics,September 2024 Intake (USD),1
,,,MSc in Immunology,September 2024 Intake (USD),1
,,,MSc in Molecular Biology and Pathology of Viruses,September 2024 Intake (USD),1
,,,MSc in Molecular Medicine,September 2024 Intake (USD),1
,,,MSc in Reproductive and Developmental Biology,September 2024 Intake (USD),1
,,,MSc in Translational Neuroscience,September 2024 Intake (USD),1
,,Faculty of Natural Sciences,MSc in Applied Biosciences and Biotechnology,September 2024 Intake (USD),1
,,,MSc in Applied Mathematics,September 2024 Intake (USD),1
,,,MSc in Digital Chemistry,September 2024 Intake (USD),1
,,,MSc in Living Planet with Computational Methods in Ecology and Evolution,September 2024 Intake (USD),1
,,,MSc in Living Planet with Ecological Applications,September 2024 Intake (USD),1
,,,"MSc in Living Planet with Ecology, Evolution and Conservation",September 2024 Intake (USD),1
,,,MSc in Optics and Photonics,September 2024 Intake (USD),1
,,,MSc in Physics,September 2024 Intake (USD),1
,,,MSc in Physics with Extended Research,September 2024 Intake (USD),1
,,,MSc in Physics with Quantum Dynamics,September 2024 Intake (USD),1
,,,MSc in Pure Mathematics,September 2024 Intake (USD),1
,,,MSc in Quantum Fields and Fundamental Forces,September 2024 Intake (USD),1
,,,MSc in Statistics,September 2024 Intake (USD),1
,,,MSc in Statistics (Applied Statistics),September 2024 Intake (USD),1
,,,MSc in Statistics (Biostatistics),September 2024 Intake (USD),1
,,,MSc in Statistics (Data Science),September 2024 Intake (USD),1
,,,MSc in Statistics (Statistical Finance),September 2024 Intake (USD),1
,,,MSc in Statistics (Theory and Methods),September 2024 Intake (USD),1
,,,"MSc in Taxonomy, Biodiversity and Evolution",September 2024 Intake (USD),1
,,Imperial College Business School,MBA (Full-Time),Intake 2024 (USD),1
,,,MSc in Business Analytics (On-campus),Intake 2024 (USD),1
,,,"MSc in Climate Change, Management & Finance",Intake 2024 (USD),1
,,,MSc in Economics and Strategy for Business,Intake 2024 (USD),1
,,,MSc in Finance,Intake 2024 (USD),1
,,,MSc in Finance and Accounting,Intake 2024 (USD),1
,,,MSc in Financial Technology,Intake 2024 (USD),1
,,,MSc in Global Health Management,Intake 2024 (USD),1
,,,"MSc in Innovation, Entrepreneurship and Management",Intake 2024 (USD),1
,,,MSc in International Management (MIM),Intake 2024 (USD),1
,,,MSc in Investment and Wealth Management,Intake 2024 (USD),1
,,,MSc in Management,Intake 2024 (USD),1
,,,MSc in Risk Management and Financial Engineering,Intake 2024 (USD),1
,,,MSc in Strategic Marketing (on campus - full-time),Intake 2024 (USD),1
,Keele University,Faculty of Humanities and Social Science,MBA,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Accounting and Financial Management,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Banking and Finance,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Business Analytics,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in International Business,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Management,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Marketing,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,Faculty of Natural Sciences,MSc in Artificial Intelligence and Data Science,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Biomedical Engineering,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Biomedical Science,(Blood Science) January 2025 Intake (USD),1
,,,,(Blood Science) September 2024 Intake (USD),1
,,,,(Medical Microbiology) January 2025 Intake (USD),1
,,,,(Medical Microbiology) September 2024 Intake (USD),1
,,Keele University,MA Human Resource Management,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MA Politics and International Relations (Global Security),January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MA Politics and International Relations (International Relations),January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MA Politics and International Relations (Middle East Politics),January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MA Politics and International Relations (Politics),January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MA Politics and International Relations (US Politics),January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Adult Nursing,September 2024 Intake (USD),1
,,,MSc Advanced Computer Science,September 2024 Intake (USD),1
,,,MSc Biodiversity and Conservation,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Cell and Tissue Engineering,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Computer Science,September 2024 Intake (USD),1
,,,MSc Cyber Security,September 2024 Intake (USD),1
,,,MSc Digital Marketing,September 2024 Intake (USD),1
,,,MSc Geoscience Research,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Enterprise and Innovation,September 2024 Intake (USD),1
,,,MSc International Development,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Investment Management,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Medical Engineering Design,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc Nursing - Children,September 2024 Intake,1
,,,MSc Nursing - Mental Health,September 2024 Intake (USD),1
,King's College London,Faculty of Arts and Humanities,MA in Big Data in Culture & Society,September 2024 Intake (USD),1
,,,MSc in Digital Economy,September 2024 Intake (USD),1
,,Faculty of Life Sciences & Medicine,Master of Public Health (MPH),September 2024 Intake (USD),1
,,,MSc in Analytical Toxicology,September 2024 Intake (USD),1
,,,MSc in Biomedical & Molecular Sciences Research,September 2024 Intake (USD),1
,,,MSc in Genomic Medicine,September 2024 Intake (USD),1
,,,MSc in Global Health,September 2024 Intake (USD),1
,,,MSc in Human & Applied Physiology,September 2024 Intake (USD),1
,,"Faculty of Natural, Mathematical & Engineering Sciences",MRes in Interdisciplinary Chemical Research,September 2024 Intake (USD),1
,,,MSc in Advanced Software Engineering,September 2024 Intake (USD),1
,,,MSc in Artificial Intelligence,September 2024 Intake (USD),1
,,,MSc in Complex Systems Modelling,September 2024 Intake (USD),1
,,,MSc in Computational Finance,September 2024 Intake (USD),1
,,,MSc in Cyber Security,September 2024 Intake (USD),1
,,,MSc in Engineering with Management,September 2024 Intake (USD),1
,,,MSc in Financial Mathematics,September 2024 Intake (USD),1
,,,MSc in Mathematics,September 2024 Intake (USD),1
,,,MSc in Robotics,September 2024 Intake (USD),1
,,,MSc in Statistics,September 2024 Intake (USD),1
,,,MSc in Theoretical Physics,September 2024 Intake (USD),1
,,Faculty of Social Science and Public Policy,MA in International Political Economy,September 2024 Intake (USD),1
,,,MA in International Relations,September 2024 Intake (USD),1
,,,MA in Political Economy (Full-time),September 2024 Intake (USD),1
,,,MA in Public Policy (Full-time),September 2024 Intake (USD),1
,,,MSc in Economics & Policy,September 2024 Intake (USD),1
,,,"MSc in Global Health, Social Justice and Public Policy ",September 2024 Intake (USD),1
,,,MSc in Leadership and Development (Full-time),September 2024 Intake (USD),1
,,"Institute of Psychiatry, Psychology & Neuroscience",MSc in Applied Statistical Modelling & Health Informatics (Full-time),September 2024 Intake (USD),1
,,,MSc in Clinical Neuroscience,September 2024 Intake (USD),1
,,,MSc in Neuroscience (Full-time),September 2024 Intake (USD),1
,,King's Business School,Executive MBA,September 2023 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Banking & Finance,September 2024 Intake (USD),1
,,,MSc in Economics and Finance,September 2024 Intake (USD),1
,,,MSc in Finance (Asset Pricing),September 2024 Intake (USD),1
,,,MSc in Finance (Corporate Finance) (On-Campus),September 2024 Intake (USD),1
,,,MSc in Finance Analytics,September 2024 Intake (USD),1
,,The Dickson Poon School of Law,Master of Laws LLM,September 2024 Intake (USD),1
,Kingston University,Faculty of Business and Social Sciences,MBA,January 2025 Intake (USD),1
,,,,March 2025 Intake (USD),1
,,,,November 2024 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MBA: Cyber for Business Leaders,September 2024 Intake (USD),1
,,,MSc Global Human Resource Management,September 2024 Intake (USD),1
,,,MSc in Marketing and Brand Management,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,"Faculty of Engineering, Computing and the Environment",MSc in Advanced Product Design Engineering & Manufacturing,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Aerospace Engineering,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Data Science,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Engineering Projects & Systems Management,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Information Systems,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Management in Construction,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Management in Construction (Civil Engineering),January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Mechanical Engineering,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Mechatronic Systems,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Network & Information Security,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Network & Information Security with Management Studies,January 2025 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MSc in Networking & Data Communications,January 2025 Intake (USD),1
