Primary Campus,University,School Name,Course Name,Class Name,
,,,Master of Business by Research,February 2024 Intake(USD),1
,,,,July 2024 Intake(USD),1
,,,Master of Finance and Banking,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Human Resource Management,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of International Hospitality Management,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Laws (Research),February 2024 Intake(USD),1
,,,,July 2024 Intake(USD),1
,,,Master of Management Information Systems,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Marketing and Innovation Management,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Professional Accounting,February 2024 Intake(USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Project Management,February 2024 Intake(USD),1
,,,,July 2024 Intake(USD),1
,,,Master of Supply Chain and Logistics Management,February 2024 Intake(USD),1
,,,,February 2025 Intake(USD),1
,,,,July 2024 Intake(USD),1
,,School of Engineering,Master of Engineering,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Engineering Science,February 2024 Intake(USD),1
,,,Master of Technology,July 2024 Intake(USD),1
,,School Of Medical And Health Sciences,Master of Medical and Health Science by Research,February 2024 Intake(USD),1
,,,,July 2024 Intake(USD),1
,,,Master of Public Health,February 2024 Intake(USD),1
,,,,February 2025 Intake(USD),1
,,School of Nursing And Midwifery,Master of Nursing,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Nursing (Graduate Entry),February 2024 Intake (USD),1
,,,Master of Nursing (Research),February 2024 Intake(USD),1
,,,,July 2024 Intake(USD),1
,,School of Science,Master of Computer Science,February 2024 Intake(USD),1
,,,,July 2024 Intake(USD),1
,,,Master of Computing and Security by Research,February 2024 Intake(USD),1
,,,,July 2024 Intake(USD),1
,,,Master of Cyber Security,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Data Science,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,Griffith University,Griffith Business School,Master of Business,July 2024 Intake (USD) (On campus),1
,,,,March 2024 Intake (USD) (On Campus),1
,,,,November 2024 Intake (USD) (On Campus),1
,,,Master of Finance,July 2024 Intake (USD) (Full-time) (On-Campus),1
,,,,March 2024 Intake (USD) (Full-time)(On-Campus),1
,,,,November 2024 Intake (USD) (Full-time) (On Campus),1
,,,Master of Global Development,July 2024 Intake (USD) (Full-time) (On-Campus),1
,,,,March 2024 Intake (USD) (Full-time) (On-Campus),1
,,,Master of Human Resource Management and Employment Relations ,July 2024 Intake (USD) (18 Months Track) (On-campus),1
,,,,July 2024 Intake (USD) (Full-time) (On-Campus),1
,,,,March 2024 Intake (USD) (18 Months Track) (On-campus),1
,,,Master of International Business,July 2024 Intake (USD) (18 Months Track) (On-campus),1
,,,,July 2024 Intake (USD) (Full-time) (On-Campus),1
,,,,March 2024 Intake (USD) (18 Months Track) (On-campus),1
,,,,November 2024 Intake (USD) (18 Months Track) (On Campus),1
,,,,November 2024 Intake (USD) (Full-time) (On Campus),1
,,,Master of Marketing,July 2024 Intake (USD) (18 Months Track) (On-campus),1
,,,,July 2024 Intake (USD) (Full-time) (On-Campus),1
,,,,March 2024 Intake (USD) (18 Months Track) (On-campus),1
,,,Master of Professional Accounting,July 2024 Intake (USD) (Full-time) (On-Campus),1
,,,,March 2024 Intake (USD) (Full-time) (On-Campus),1
,,,,November 2024 Intake (USD) (Full-time) (On Campus),1
,,,MBA,July 2024 Intake (USD),1
,,,,March 2025 Intake (USD),1
,,Griffith Health,Master of Dentistry,March 2024 Intake (USD),1
,,,Master of Global Development,July 2024 Intake (USD),1
,,,Master of Pharmacy,July 2024 Intake (USD),1
,,,,July 2024 Intake (USD) (30 Months Track),1
,,,,March 2024 Intake (USD),1
,,,,March 2024 Intake (USD) (30 Months Track),1
,,,Master of Public Health,July 2024 Intake (USD) (24 Months Track) (On-campus)(Master of Global Public Health),1
,,,,July 2024 Intake (USD) (Full-time) (On-Campus)(Master of Global Public Health),1
,,,,July 2024 Intake (USD) (Full-time) (On-Campus)(Master of Public Health)(18 Months Track),1
,,,,July 2024 Intake (USD) (On-campus)(Master of Global Public Health),1
,,,,March 2024 Intake (USD) (24 Months Track) (On-campus)(Master of Global Public Health),1
,,,,March 2024 Intake (USD) (Full-time)(On-Campus)(Master of Global Public Health),1
,,,,March 2024 Intake (USD) (Full-time)(On-Campus)(Master of Public Health)(18 Months Track),1
,,,,November 2024 Intake (USD) (24 Months Track) (On Campus)(Master of Global Public Health),1
,,,,November 2024 Intake (USD) (Full-time) (On Campus)(Master of Global Public Health),1
,,,,November 2024 Intake (USD) (On Campus)(Master of Public Health),1
,,,,November 2024 Intake (USD) (On Campus)(Master of Public Health)(18 Months Track),1
,,Griffith Sciences,Master of Biotechnology,July 2024 Intake (USD),1
,,,,March 2024 Intake (USD),1
,,,Master of Civil Engineering,July 2024 Intake (USD) (Admitted with Advanced Standing Status),1
,,,,July 2024 Intake (USD) (Admitted with Advanced Standing Status) (18 Months Track),1
,,,,March 2024 Intake (USD) (18 Months Track),1
,,,Master of Civil Engineering (Advanced),July 2024 Intake (USD),1
,,,,July 2024 Intake (USD) (24 Months Track),1
,,,,March 2024 Intake (USD),1
,,,,March 2024 Intake (USD) (24 Months Track),1
,,,Master of Engineering Project Management,July 2024 Intake (USD),1
,,,,July 2024 Intake (USD) (18 Months Track),1
,,,,March 2024 Intake (USD) (18 Months Track),1
,,,Master of Environmental Engineering,July 2024 Intake (USD) (18 Months Track) (On-Campus),1
,,,,July 2024 Intake (USD) (Full-time) (On-Campus),1
,,,,March 2024 Intake (USD) (18 Months Track) (On-campus),1
,,,Master of Environmental Engineering and Pollution Control,July 2024 Intake (USD) (24 Months Track) (On-campus),1
,,,,July 2024 Intake (USD) (Full-time) (On-Campus),1
,,,,March 2024 Intake (USD) (24 Month Track)(On-Campus),1
,,,,March 2024 Intake (USD) (Full-time)(On-Campus),1
,,,Master of Financial Technology,July 2024 Intake (USD) (24 Months Track) (On-campus),1
,,,,July 2024 Intake (USD) (Full-time) (On-Campus),1
,,,,March 2024 Intake (USD) (24 Months Track) (On-campus),1
,,,,March 2024 Intake (USD) (Full-time) (On-Campus),1
,,,Master of Information Systems and Information Technology Management,July 2024 Intake (USD) (24 Months Track) (On-campus),1
,,,,July 2024 Intake (USD) (Full-time) (On-Campus),1
,,,,March 2024 Intake (USD) (24 Months Track) (On-campus),1
,,,,March 2024 Intake (USD) (Full-time) (On-Campus),1
,,,Master of Information Technology,March 2024 Intake (USD) (24 Months Track) (On-campus),1
,,,,March 2024 Intake (USD) (Full-time) (On Campus),1
,,,Master of Material Science,July 2024 Intake (USD),1
,,,,March 2024 Intake (USD),1
,,,Master of Professional Engineering,July 2024 Intake (Electronic Engineering) (USD),1
,,,,July 2024 Intake (USD),1
,,,,March 2024 Intake (Electronic Engineering) (USD),1
,,,,March 2024 Intake (USD),1
,,"School of Arts, Education and Law",Master of International Law,July 2024 Intake (USD) (18 Months Track) (On-campus),1
,,,,July 2024 Intake (USD) (Full-time) (On-Campus),1
,,,,March 2024 Intake (USD) (18 Months Track) (On-campus),1
,James Cook University,"College of Arts, Society and Education",Master of Global Development,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,"College of Business, Law and Governance",Master of Governance and Leadership,January 2024 Intake (USD),1
,,,,May 2024 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,Master of Professional Accounting,January 2024 Intake (USD),1
,,,,May 2024 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,Master of Professional Accounting - MBA,January 2024 Intake (USD),1
,,,,May 2024 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MBA,January 2024 Intake (USD),1
,,,,May 2024 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,MBA - Master of Conflict Management and Resolution,January 2024 Intake (USD),1
,,,,May 2024 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,"College of Public Health, Medical and Veterinary Sciences",Master of Public Health,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Public Health - Master of Global Development,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Public Health - MBA,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,College of Science and Engineering,Master of Data Science (Professional),September 2024 Intake (USD),1
,,,Master of Engineering (Professional),February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Engineering Management,January 2024 Intake (USD),1
,,,,May 2024 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,Master of Information Technology,January 2024 Intake (USD),1
,,,,May 2024 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,Master of Information Technology - MBA,January 2024 Intake (USD),1
,,,,May 2024 Intake (USD),1
,,,,September 2024 Intake (USD),1
,,,Master of Science,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Science (Professional),February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,Macquarie University,Faculty of Arts,Master of Cyber Security Analysis,July 2024 Intake (USD),1
,,,Master of International Trade and Commerce Law,July 2024 Intake (USD),1
,,,Master of Laws,July 2024 Intake (USD),1
,,"Faculty of Medicine, Health and Human Sciences",Master of Public Health,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,Faculty of Science and Engineering,Master of Applied Statistics,July 2024 Intake (USD),1
,,,Master of Biotechnology,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Data Science,July 2024 Intake (USD),1
,,,Master of Engineering in Electronics Engineering,July 2024 Intake (USD),1
,,,Master of Engineering Management,February 2024 Intake (USD),1
,,,,February 2025 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Information Systems Management,February 2024 Intake (2 Years) (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Information Technology in Artificial Intelligence,February 2024 Intake (USD),1
,,,,July 2024 Intake (USD),1
,,,Master of Information Technology in Cyber Security,July 2024 Intake (USD),1
,,,Master of Information Technology in Internet of Things,July 2024 Intake (USD),1
,,,Master of Information Technology in Networking,July 2024 Intake (USD),1
,,Macquarie Business School,Master of Accounting,July 2024 Intake (USD),1
